date,time,event,platform,ad_id,ad_cost_type,ad_cost
2019-04-01,2019-04-01 12:42:20,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:43:53,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:44:52,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:45:28,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:45:54,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:49:40,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:50:26,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 12:52:19,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:52:50,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:53:50,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:54:12,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 12:56:28,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:00:40,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:03:13,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:05:31,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 13:06:27,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:07:34,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 13:07:54,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:09:24,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 13:10:11,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 13:11:03,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:11:11,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:11:52,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:17:14,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 13:17:34,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:20:45,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:20:56,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:21:03,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:21:46,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:23:02,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:23:03,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 13:23:41,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 13:23:48,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 13:23:48,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:24:07,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:25:45,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:26:47,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 13:27:01,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 13:27:34,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:39:34,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:43:35,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 13:44:31,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 13:46:16,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:53:18,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:55:24,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:55:59,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 13:55:59,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 13:58:57,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:58:57,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 13:59:12,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 13:59:21,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:00:34,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:02:51,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:03:39,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 14:06:22,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:10:06,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:11:53,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 14:13:02,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 14:14:09,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 14:16:15,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:27:06,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:27:13,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 14:31:30,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:33:27,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:36:56,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:37:21,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:39:33,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:41:52,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:41:52,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:42:24,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:43:46,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:48:07,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 14:48:45,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:49:27,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:50:52,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:52:22,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:52:48,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:54:02,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:54:48,view,android,121288,CPM,187.4
2019-04-01,2019-04-01 14:55:56,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:57:01,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 14:57:30,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 15:02:52,view,ios,121288,CPM,187.4
2019-04-01,2019-04-01 15:02:52,view,web,121288,CPM,187.4
2019-04-01,2019-04-01 15:06:24,view,android,121288,CPM,187.4
